Файл,"Последовательность данных, у которой есть имя. Файлы могут содержать текст, аудио, видео, графику итд."
Формат файла,"(тип, расширение) – показывает, какие именно данные хранятся в конкретном файле."
Исполняемый файл,"Текстовый или бинарный файл, составленный с помощью языка программирования. Такой файл можно выполнить и получить результат."
